spolecnost	sidlo	rok_zalozeni	stari	stáří	NACE-CZ	prav_forma	zahr_kapital	pocet_zam	obrat2008	zamereni	zamereni_text	1a	1b	1c	1d	1e	1f	1g	1h	2a_vyuz	2a_plan	2a_spok	2b_vyuz	2b_plan	2b_spok	2c_vyuz	2c_plan	2c_spok	2d_vyuz	2d_plan	2d_spok	2e_vyuz	2e_plan	2e_spok	2f_vyuz	2f_plan	2f_spok	2g_vyuz	2g_plan	2g_spok	2g_text	2h_vyuz	2h_plan	2h_spok	2i_vyuz	2i_plan	2i_spok	2j_vyuz	2j_plan	2j_spok	2k_vyuz	2k_plan	2k_spok	2l_vyuz	2l_plan	2l_spok	2l_text	3	3_text	4a	4b	4c	4d	4e	4f	4g	5a	5b	5c	5d	5e	5f	5g	5h	5i	5j	5k	5l	5m	5n	5o	5p	5r	5r_text	6a_1	6a_2	6a_3	6a_4	6a_5	6a_6	6b_1	6b_2	6b_3	6b_4	6c	6d	6e	6f	6g	6h	6h_text	7	8a	8b	8c	8d	8e	8f	8g	8h	8i	8i_text	8j	9	10	11a	11b	11c	11d	11e	11f	12a	12b	12c	12d	12e	12f	12f_text	13a	13b	13c	13d	13e	13f	13f_text	14	15	15_text
Motorpal, a.s.	Jihlava	1946	1	1	29.32	a.s.	2	4	4	1		4	5	3	3	4	4	3	2	3		4	3		4	2		3	3		5		1			1		3		4	Ukazatele nekvality, vniřní ztráty, reklamace	3		1	1		2	2		2		1						1		5	5	4	4	4	4	4	3	4	4	4	5	4	4	4	4	4	4	4	3	3	3	3			1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0		2	1	1	0	1	0	1	0	0	0		0	1	2	1	1	1	1	1	1	1	1	0	0	0	0		2	5	3	4	4			2	1	Důraz na vyhodnocování výsledků jednotlivých procesů
MP Krásno	Valašské Meziříčí	1999	2	2	řeznictví a uzenářství	a.s.	2	4	4	1		1	3	1	3	1	1	2	1	3		4	2		4		2		2		5	2		3	1		3					3		3							2		2					1		1	1	2	2	2	2	2	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	5			1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	0		1	1	1	0	1	1	0	1	1	0		0	1	1	0	0	0	1	1	1	1	1	1	1	0	0		5	2	3	4	3			1	2	
MPL Trading, spol. s r.o.	Zlín	1993	2	2		s.r.o.	1	3	4	3		5	2	5	2	1	3	1	1	3		4		2			2		3		2		2			2		3		3			2			2			2			2						3		5	4	3	4	4	1	3	4	4	5	2	3	3	4	2	2	4	1	2	3	3	1	2			0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0		1	1	0	0	1	1	0	0	1	0		0	1	3	0	0	0	0	1	0	1	1	0	0	0	0		1	2	2	5	2			2	2	
M-tec Cz	Zlín	1993	2	2	Výroba kovových konstrukcí a kovodělných výrobků	s.r.o.	1	3	4	1		4	4	3	4	2	3	4	4	3		2	3		2		2		3		2		2			2		3		2		2		3		2			1			1						1		4	4	3	3	3	2	2	5	5	5	5	5	5	5	4	4	4	4	5	4	4	3	4			0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0		1	1	0	0	1	0	0	0	1	0		0	3	3	1	1	1	1	1	1	1	1	0	0	0	0		3	3	3	5	3			2	1	
NATURVITA	Slušovice	2001	2	2	výroba potravinových doplňků	a.s.	2	2	1	1		2	1	3	2	4	5	1	1					1																																				3	5		4		4	5	3		5			4	5				4	3	4	5	4				0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0		2	0	0	0	0	1	0	0	1	0		0	1	2	0	0	1	0	1	1	1	0	0	0	0	0		1	1	1	5	1			1	2	
Nitara	Nedakonice	1999	2	2	Lehké strojírenství	s.r.o.	2	2	1	1		4	5	4	3	2	4	2	4	3		4	3		4		2			2			2			1			2		ISO 2000		2			2			2			2						3		5	5	3	4	3	2	4	4	4	3	3	4	5	5	4	3	4	5	5	5	5	4	4			0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0		1	1	0	0	1	1	0	1	1	0		0	3	3	0	0	1	0	0	1	1	0	0	0	0	0		2	2	3	4	2				2	
Norgren	Brno	2002	3	2	automobilový průmysl	s.r.o.	1	4	3	1		5	5	3	4	5	5	4	5	3		4	3		4	3		4	3		4	3		3	3		3						1			1			2			2						1		5	5	4	5	5	5	4	4	4	5	5	5	5	5	4	5	5	5	5	4	5	4	4			1	1	0	1	0	0	1	1	0	0	1	1	0	1	0	0		2	1	1	0	1	1	1	0	0	0		0	1	2	1	1	1	1	1	1	1	0	0	1	0	0		5			5				2	2	
Nové okno	Lechotice	2005	3	3	Výroba a montáž plastových a hliníkových oken	s.r.o.	2	2	1	1		5	5	5	2	5	4	4	4	3		4		2			2			2			2			2			2				2			2			2			2			2			3		5	4	1	5	4	3	1	5	5	5	5	4	3	3	1	1	2	1	2	1	3	1	1			0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0		3	1	0	0	0	0	0	1	0	0		0	2	3	0	0	0	0	1	0	1	0	0	0	0	0		4	2	3	5	3			1	2	
NTS Prometal Machining	Slavičín	1997	2	2	Výroba ostatních strojů a zařízení pro všeobecné účely j. n.	s.r.o.	1	3	3	1		3	4	4		4	3			3		4	2		4		2		1		2		2			2			2				2			2			1			2			2			1		5	5	4	4	4	2	2	3	4	3	3	4	4	5	4	3	2	4	5	3	4	2	3			0	0	0	1	1	0	0	1	0	0	1	0	0	1	1	0		1	0	0	0	0	0	0	0	0	0		1	3	3	0	1	1	0	0	1	1	1	0	0	0	0		2	1	2	5	1			2	1	
Nutricia	Praha	1995	2	2	koupě zboží za účelem jeho dalšiho prodeje a prodej v rozsahu Živnosti volné - zprostředkování obchodu;  reklarnní služby;  marketing- průkum trhu.	a.s.	2	3	4	3		5	5	5	5	5	5	5	5	3		4	3		4	3		4	3		5		1		3		4	3		4	ISO 9001:2001 (1998), HACCP (2006), Organic-Výroba biopotravin (2004)	3		4	2		4	2		4	2		5					1		5	4	4	4	5	4	4	5	5	5	5	5	5	4	4	5	4	5	5	4	4	4	4			1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0		2	1	1	0	0	1	1	0	1	0		0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	Exact	4	1	1	4	3			1	1	důraz na Value Based Management
NWT Computer s. r. o.divize internetové obchodní domy Patro.cz	Hulín	1992	2	2	obchodní	s.r.o.	2	3	4	3		4	4	4	3	5	4	3	5	3				1			1		3				2		1			3				3				2		3				1						1		5	5	4	4	5	4	4	4	5	4	5	5	4	4	4	4	4	4	4	4	3	5	4			1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0		2	1	1	0	1	1	0	1	0	0		0	1	2	0	0	1	1	1	1	1	1	0	0	0	0		3	2	4	2	3				1	změna na plánování v měsíčním režimu místo ročního.
NWT Computers	Hulín	1992	2	2	; Správa, instala, prodej, servis	s.r.o.	2	3	3	3		4	5	4	4	5	4	3	4	2		3	1		4	1		4	2		5	1		2	1		3	3		5		2		4	2		4	3		5	2		3					1		4	5	4	3	4	3	5	5	4	4	4	5	5	5	4	3	4	4	5	4	3	4	4			0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0		1	0	0	0	1	1	1	0	0	0		0	1	2					1	1	1	1	0	0	0	0		3	2	4	4	2			2	1	
Obaly Morava	Otrokovice	1996	2	2	výroba vlákniny, papíru a lepenky a zboží z těchto materiálů	a.s.	2	3	4	1		5	5	5	5	5	5	4	5	3		4		2			2		3		4		2			2		2		4	ISO 9001:2000		2			2			2		3		4					1		5	5	5	5	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5	4	4	4	5			1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0			1	0	0	1	0	0	0	1	0		0	2	2	1	0	0	0	1	0	1	0	0	0	0	0		5	2	2	3	3			2	2	
OHL ŽS, a.s.	Brno	1992	2	2		a.s.	1	4	4	1		4	1	5	2	2	3	2	1	3	2	3	2		4		2		3		4		1		3		4						2			2			2			2							měření výkonnosti je dáno požadavky řízení	5	2	4	2	2	1	2	4	4	5	5	2	4	2	4	3	3	5	4		3	2	2			0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0		2	0	0	0	1	0	1	1	0	0		0	3	1	0	1	1	1	1	1	0	1	0	0	0	0		3	2	1	1	3	4	místní podmínky	1	2	
OL AUDITING, spol. s r. o.	Olomouc	1998	2	2	auditorská činnost, daňové poradenství, znalecká činnost	s.r.o.	2	1	1	2		1	3	4	4	5	4	4	5	3		4		2			2			2			2			2			2			3		2		2			2			2						3		5	5	1	3	3	4	1	5	5	5	3	5	4	1	4	1	2	1	4	4	4	2	3			0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0		1	0	0	0	0	0	0	1	1	0		0	2	3	0	0	0	0	0	0	1	0	0	0	0	0		1	1	1	4	3			1	2	
OP PROSTĚJOV PROFASHION	Prostějov	1964	1	1	výroba, obchod	a.s.	2	4	4	1		4	4	2	4	3	5	3	3	3		3		2		3		4	3		2	1		3				3		3	ISO		1			2			2			2						3		4	4	5	5	5	3	5	5	3	5	5	4	3	4	5	5	5	5	3	4	5	4	5			0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0		1	1	0	0	0	1	0	0	0	0		0	1	3	1	1	1		1		0	1	0	0	0	0		5	3	3	5	4			2	1	
ORFUS	Dubňany	1959	1	1	obrábění a úpravy kovů	s.r.o.	1	3	4	1		5	3	3	3	4	2		1	3		2	3		2				3		4	3		3				1		2	SPC	3		3							3		2					3		4	4	5	5	3	4	4	5			4	4		5	4	1	1	5	4	5	5	2	2			0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0		3	1	0	0	1	0	0	0	1	0		0	2	3	1	1	1	1	1	1	1	0	0	0	0	0					5				1	2	
ORPA Papír	Lanškroun	2007	3	3	Výroba ostatních výrobků z papíru a lepenky	a.s.	2	3	3	1		5	3	3	2	3	4	1	1	3		4	3		5				3		5		2			2			2				2			2			2		2							1		5	5	4	4		4	4	5	5	5	5	5	5	5	4	4	5	4	4	4	5	5	4			0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0		1	0	1	0	1	0	0	0	0	0		0	1	3	1	1	1	1	1	1	1	1	0	0	0	0		5	1	2	5	1			2	1	Řízení podniku pomocí CF, maximální snižování nákladů.
Oseva	Bzenec	1985	1	1	Výroba osiva	a.s.	1	3	4	1		4	4	2	4	5	4	2		3		4		2			2			2			2			2						2				2			2			1						3		5	5	4	4	3	4	5	4	5	5	5	5	5	5	4	4	4	4	4	4	5	4	3			0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0		3	1	0	0	1	0	0	0	1	0		0	3	3	1	1	0	0	1	1	1	0	0	0	0	0		5	2	3	3	4	5	počasí	1	2	
OSPAP	K Hrušovu 292/4, 10223 Praha 10	1958	1	1	velkoobchod papírem	a.s.	1	3	4	3		5	5	5	4	5	4	4	3	3		2	3		5	2		3	3		5		2		3		3	3		3	ISO 	2		3		2			2		2		4					1		4	4	3	3	3	3	1	5	4	5	5	5	5	5	4	4	4		4	4	4	3	4			1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	dny zásob, dny otevř.pohledávek, dny otevř.závazků	2	1	0	0	1	1	0	0	0	1	vliv na ukazatel EVA	0	1	3	1	1	1	1	1	0	0	1	0	1	0	1	CRM	4	1	2	5	3	4	vývoj kurzu EUR	2	1	detailnější analýzy, častější forecasting
OSTROJ	Opava	1992	2	2		a.s.	1	4	4	1		5	5	4	4	4	5	3	5	3		4	3		5	3		3	3		5	3		5		2		3		4		3		4	3		3		1		3		3					1		5	5	4	4	5	4	5	5	5	4	5	5	5	5	4	4	5	5	5	4	4	4	4			1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0		2	0	1	0	1	0	1	0	0	0		0	1	1	1	1	1	1	1	1	1	1	1	1	0	0		4	5	4	4	4			1	2	
Otis	Břeclav	1991	2	2	výroba, modernizace a servis výtahů	a.s.	1	4	4	2		5	4	4	4	4	5	4	3	3		4	3		4	3		3	3		4	3		3		2		3		4		3		3		1		2		4		1						1		4	4	5	4	4	4	4	4	4	4	4	4	4	5	5	4	4	4	5	4	5	4	5			0	1	1	1	0	1	1	0	1	0	1	0	0	1	0	0		2	0	1	0	1	0	1	1	0	0		0	1	3	0	1	1	1	0	1	1	1	0	1	0	0		4	2	4	5	4			1	2	
P & L	Biskupice	1990	1	1	Stavebnictví	s.r.o.	2	3	4	3		4	4	2	3	3	4	1	2	3		4	2		4		2		2		5		1			2			2				2			2			2		3		2					1		4	5	4	4	3	3	2	4	4	3	3	4	5	4	5	4	3	1	3	3	4	2	3			0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0		1	0	0	0	1	1	0	1	1	0		0	1	2	1	1	1	1	1	1	1	1	0	1	1	0		1	1	2	3	3			1	1	údaje z analýz jsou brány vážněji
PANACHILLES	Praha	2008	3	3	Nespecializovaný velkoobchod	a.s.		2	1	3		1	3	2	2	2	3	2	2	1		4		1			2			2			2			2			2				2			2			2		1		4					3		4	3	2	3	1	2	1	4	4	4	3	3	3	3	3	4	3	1	2	2	3	1	2			0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0		3	1	0	0	0	0	0	0	0	0		0	3	2	0	0	0	0	1	1	1	0	0	0	0	0		1	2	1	4	3			2	2	
PANOP CZ, s.r.o.	Hulín	2003	3	2	52.30	s.r.o.	2	2	1	1		3	5	5	5	4	4	3	3	1				2			2		1		2					2		2		4		2		5		2			2		1		4					2		5	5	3	4	3	2	3	4	5	3	3	4	3	2	3	2	3	2	2	2	3	2	3			0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0		1	0	0	0	1	1	0	0	1	0		0	3	3	0	0	0	0	0	1	1	0	0	0	0	0		1	1	2	5	4			2	2	
PANOP, spol. s r.o.	Kroměříž	1992	2	2	Ostatní maloobchod s novým zbožím ve specializovaných prodejnách;  Velkoobchod s železářským zbožím, instalatérskými a topenářskými potřebami	s.r.o.	2	1	1	3		4	4	1	4	1	3	3	1	2		4		2			2		2		3		2			1			2				1			2			2			2			2			1		5	4	4	2	3	2	2	5	5	5	5	5	4	5	5	4	5	5	5	3	3	4	4			0	0	1	1	1	0	1	1	1	0	0	0	0	1	1	0		1	1	1	0	1	0	0	1	1	0		0	1	2	0	0	0	0	0	1	1	0	0	0	0	0		3	3	2	5	3			2	1	snižování nákladů, náklady se více sledují
Paroloď, spol. s r.o.	Děčín	2001	2	2	pohostinství, catering	s.r.o.	2	2	1	2		4	5	3	3	5	4	4	4	1		3	1		3	1		3	1		3		2			2		1		3		1		4		2			2		1		3					1		5	5	4	5	3	4	4	4	4	4	4	4	4	4	4	3	3	3	5	3	5	3	3			1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0		1	1	0	0	1	1	1	0	1	0		0	1	2	0	0	0	0	1	1	1	0	0	0	0	0		3	4	4	4	4			1	2	
Penta	Želechovice nad Dřevnicí	1991	2	2	Výroba ostatních pryžových výrobků	s.r.o.	2	1	1	1		4	1	2	1	3	5	5	2	2				2			2			2			2			2			2				2			2		3				2			2			3		5	4	4	2	1	3	3	5	3	5	5	5	5	5	5	3	3	5	3	3	3	3	3			0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0		3	1	0	0	1	0	0	0	1	0		0	2	3	0	1	1	0	0	0	1	0	0	0	0	0		4	5	1	5	3				2	
PF PLASTY CZ s.r.o.	Chuchelná	1992	2	2		s.r.o.	2	4	3	1		5	2	4	2	5	5	2	4	3		4	3		5	3	1	5	3		5		2		1		4	3		3	ISO 9001, TS 16949		1			2			2		2		3					1		5	4	2	4	3	5	4	4	5	3	3	4	4	3	5	4	4	4	5	4	4	3	4			1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0		2	0	0	0	1	1	1	0	0	0		0	1	3	0	1	1	1	1	1	1	0	0	0	0	1	SAP	3	5	4	5	2			1	2	
Pfizer	Praha	1992	2	2	prodej léků	a.s.	1	4	4	3		5	4	4	3	5	5	5	5	3		5	3		5		2		3		5		2			2			2			3		4		2			2		3		5					1		5	4	3	4	4	3	4	5	5	5	5	4	5	5	4	4	4		5	4	4	5	4			1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	production margin	2	0	1	0	1	0	0	0	0	0		0	1	1	0	1	1	1	1	0	1	0	0	1	0	1	Hyperion	1	1	1	3	5	5	nemocnost	2	2	
PICCOLLO spol. s r.o.	Praha	1992	2	2	velkoobchod	S.r.o.	2	3	4	3		4	5	3	3	2	4	3	2	3		4	3		5	2		3	3		4		1			1			2			3		4		2			2			1						1		3	5	4	4	5	3	4	4	5	3	3	5	5	4	3	5	4	3	4	4	5	4	4			1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0		2	0	0	0	1	1	0	0	1	0		0	1	3	0	1	0	1	1	1	0	1	0	1	0	0		2	5	2	3	2	4	počasí	2	1	podrobná analýza firemních procesů řízení + změny
Pilana Tools Wood Saws	Hulín	1997	2	2	Výroba a prodej nástrojů	s.r.o.	2	3	3	1		5	5	5	3	4	5	5	5	3		5	3		5		2		3		5		2			2		3		5			2			2			2		3		5					1		5	3	3	3	3	5	5	5	5	5	5	5	5	4	5	5	4	5	5	4	4	5	5			0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0		2	1	0	0	0	1	0	0	0	0		0	1	3	1	1	1	1	1	1	1	0	1	0	0	0		2	2	3	5	1			1	2	
Plastico	Domaželice	1990	1	1	Výroba kovových nádrží a zásobníků	s.r.o.	2	3	2	1		5	5	4	4	4	4		4	3		3	2		3		1		2		3		1			2		2		4		2		4	2		4	2		5								1		5	4	4	5	4	4	5	5	5	5	5	5	5	5	4	4	5	5	5	4	5	5	4			1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0		1	1	1	0	1	1	1	1	1	0		0	1	1	1	1	1	1	1	1	0	1	0	0	1	0		3	2	3	4	5			1	1	
PLASTIKA a.s. Kroměříž	Kroměříž	1956	1	1	22.29 komplexní plastové komponenty	a.s.	2	4	4	1		5	5	5	5	5	5	5	4	3		4	2		3				2		2																											1		5	5	5	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	5			1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0		2	1	0	1	1	1	1	1	1	0		0	1	2	1	1	1	1	1	1	1	0	1	0	0	0		3	2	4	3	2			2	1	
Ploma	Hodonín	1907	1	1	Výroba dýh a desek na bázi dřeva	a.s.	1	4	4	1		5	5	3	5	3	5	4	3	3		4	3		3		1		2		3		1			2		3		2		1		2	1		4		1		1		2					2		5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	5	5	5	4	3	5	3	4			1	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0		2	1	1	0	1	0	1	0	0	0		0	2	2	0	1	1	1	1	1	1	0	0	1	0	0		3	4	3	5	4			2	1	
Podravka - Lagris	Dolní Lhota u Luhačovic	1993	2	2	import, balení, distribuce a export potravin	a.s.	1	3	3	1		4	5	3	5	5	3	3	5	3		3	3		4	3		4	3		4		1		3		4	3		5		3		4		2		2		3	1		2					1		5	5	4	5	4	4	5	5	4	5	5	5	5	5	3	4	4	3	5	1	5	3	3			0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0		2	1	0	0	1	1	0	0	0	0		0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	SAP	4	3	2	5	2			1	2	
Poklopy MITECH	Roštín	2007	3	3	Velkoobchod s železářským zbožím, instalatérskými a topenářskými potřebami	s.r.o.	2	1	1	3		4	5	4	5	1	3	1	2	2		3	1		5		1		1		5		1			1			1				2			2			2			1						1		4	3	4	3	4	1	3	5	4	4	5	3	3	3	5	3	3	4	4	2	3	1	4			1	0	0	1	1	0	0	0	1	0	1	1	0	1	0	0		2	0	1	0	1	0	0	1	1	0		0	1	3	1	1	1	0	1	1	1	0	0	0	0	1	ěkteré údaje zpracovává odborná firma	5	1	1	5	2			2	1	větší opatrnost
Pozemní stavitelství Zlín	Zlín	1992	2	2	Výstavba bytových budov 	a.s.	2	4	4	1		4	5		3	2	4		4	3		4	3		4		2		3		2	3		2		2		3		3			2			1			2			2			2			1		5	5	3	4	2	4	2	5	5	3	4	4	3	4	4	3	5	4	3	2	4	1	3			0	1	0	1	0	1	1	1	0	0	0	0	0	1	1	0		1	1	0	0	0	0	0	1	1	0		0	1	3	0	1	1	1	0	1	1	0	0	1	0	0		3	1	1	4	3			1	2	
Prabos plus	Slavičín	2001	2	2	výroba obuvi	a.s.	1	4	4	1		4	3	3	4	2	3	4	4	3		4	2		4		2			1		2		3		1		2					2			1		2		4	2							1		4	5	2	3	3	4	4	4	4	4	3	4	5	5	3	3	3	5	4	3	4	4	2			0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0		2	1	0	0	1	1	0	0	0	0		0	3	1	1	1	1		0	1	1	1	0	0	0	0		4	4	3	4	2			1	2	
Pramet Tools, s.r.o.	Šumperk	1999	2	2	257300	s.r.o.	1	4	4	1		3	5	3	5	3	4	4	2	3		4	3		3				3		4	2		3								3		2				1		2								1		3	5	5	4	3	2	3	3	3		3	5	5	5	4	4	5	5	5	3	4	4	4			1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0		2	0	0	0	1	0	0	0	1	0		0	1	1	1	1	1	1	0	1	1	0	0	0	0	0		2	1	3	4	1	5	nabídka konkurence	1	1	zavedeno krizové BSC
Praxis	Zlín	1991	2	2	Maloobchod a velkoobchod s hodinami, hodinkami a klenoty	s.r.o.	1	3	3	3		5	5	4	3	3	1	3	2	3		3		2			2			1			2			2			2			3				2			2		2		3					3		5	5	3	3	5	1	5	5	5	5	5	5	4	4	3	4	4	1	3	3	3	4	4			0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	velikost marže, náklady/obrat (v %), vývoj CZK/EUR, CZK/USD	1	1	0	0	0	0	0	0	1	0		0	2	3	0	0	0	0	0	0	1	0	0	0	0	1	Program "Retail" vyvinutý pro potřeby společnosti, zejména v oblasti řízení zásob.	4	3	1	2	2	4	nedodržení pracovních postupů 	1	2	
PREdistribuce	Praha	2006	3	3	distribuce elektrické energie	a.s.	1	4	4	1		5	3	2	4	4	5	3	3	3		3	2		3	2		3	2		3		2		2		3					2		3							2		2					2		5	4	3	3	3	5	3	3	4	4	5	3	5	4	5	3	3	4	4	4	4	4	4			1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0		1	1	0	0	1	1	0	0	0	0		0	1	3	0						0	1	0	0	0	0		2	2	3	3	5			2	1	
PrimaTech s.r.o.	Vančurova 2904, 390 01 Tábor	1993	2	2	montáž technického zařízení budov (VZT, ÚT, ZTI apod.)	S.r.o.	2	2	3	2		5	4	4	4	5	4		3	3		5	3		5		1		2		3					1		3		4	ISO 9001:2009		1			1			1			1						1		5	5	4	4	4	5	4	4	5	4	5	5	5	5	5	5	5	5	5	5	5	4	5			0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0		2	0	0	0	0	0	0	0	0	0		0	1	3	1	1	1	1	1	1	1	0	0	0	0	0		2	3	2					1	1	zásadně, důslednější kontrola všech procesů společnosti
Prockert a Hynek	Roztoky u Prahy	1997	2	2	Výstavba inženýrských sítí pro kapaliny a plyny	a.s.	2	3	3	2		2	4	2	4	1	3	3	1	3		4		2			1			1			2			2			2				2			2			2			2						1		5	3	2	2	2	2	4	5	5	4	4	4	5	5	3	3	2	4	3	2	3	3	1			1	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0		1	1	0	0	1	1	0	1	1	0		0	3	3	1	1	1	1	1	1	1	0	0	0	0	0		2	1	1	3	4			1	2	
PRO-FACTORcz	Dvůr Králové	1995	2	2	Reklamní činnost a marketing, zprostředkování obchodu, služeb	s.r.o.	2	2	1	2		5	5	5	5	5	5	2	5		2		1			3																																3		5	5	4	5	2	1	1	5		5	2	5		5	1	1	5	1	5	2	5	1	3			0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0		1	0	1	0	0	0	0	0	0	0		0	1								0	0	0	0	0	0		1	5	1	5	1			2	2	
První otrokovická stavební	Otrokovice	1996	2	2	Provádění staveb včetně jejich změn	a.s.	2	2	2	1		4	4	4	4	5	5	4	3	3		5							3		4							3		5	ČSN EN ISO 9001:2001																	1		5	5	4	5		5	4	4	5	5	5	5	5	5	4	4	5	5	5	5	5		4			1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0		1	1	0	0	1	1	0	0	0	0		0	1	3	1	1	1	1	1	1	1	0	0	0	0	0			5		5	5			1	1	
Přidal	Kralice na Hané	1999	2	2		s.r.o.		2	1	1		2	4	5	5	5	5	1	5	3		4		1			1		1		2		1			2						2		4	2		3	1		3	3		4					3		5	5	4	5	3	5	5	5	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5			0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0		3	1	0	0	1	1	0	1	0	0		0	1	2	1	0	1	1	1	1	1	1	0	0	0	0		4	3	5	4	4			2	1	
PS - MSI	Zlín	1996	2	2	příprava a provádění staveb	a.s.	2	3	4	1		3	3	2	3	2	4	4	5	3		3	3		3		2		3		3	2		3		2			1				2			2			2			2						1		4	4	4	4	4	4	3	4	4	4	4	3	5	5	4	4	4	4	5	4	5	3	4			1	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0		2	1	0	0	1	1	0	1	1	0		0	1	3	1	0	1	1	1	1	1	0	0	0	0	0		2	2	4	4	2			2	2	
PSG-International 	Otrokovice	1991	2	2	 Architektonické a inženýrské činnosti a související technické poradenství,  Výstavba bytových a nebytových budov	a.s.	2	4	4	2		5	5	3	3	3	4	1	2	3		3	3		5		2		1		5		2			2		3			Integrovaný systém managementu organizace		2			2			2			2						2		5	4	3	2		2		5	5	5	5	5	5	4	5	3	3	5	3	4	5	1	5			0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0		1	1	1	0	0	1	0	0	0	0		0	1			1	1	0	0	1	1	0	0	0	0	0		2	1	1	4				2	1	pečlivější sledování - pohledávek, průběhu projektů apod.
PST OSTRAVA, a.s.	Ostrava	1991	2	2	521000 a 522900	a.s.	2	3	4	2		4	4	4	4	5	5	4	2	2		4	2		4	2		3	1		4		1			1		2		4	Interní audity, 5S, Paretovy diagramy, Vývojové diagramy, Kontrolní tabulky, Six Sigma apod.	3		4		2		1		4	2		3	2		4	Firemní intranet	1		4	5	5	5	4	5	5	5	5	4	4	5	5	5	4	5	4	4	5	5	4	4	4			0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	0		2	1	0	0	1	1	0	0	0	0		0	1	3	0	1	1	1	1	1	1	1	0	1	0	0	Share Point Service	1	3	1	5	3			1		Zvýšení tlaku na měření efektivity procesů významných pro činnost firmy
Raciola - Jehlička s.r.o.	Uherský Brod	1998	2	2	výroba a prodej drůbežích výrobků	s.r.o.	2	4	3	1		4	4	5	3	5	5	2	5	3			1				2		2				2		3			3					1			1			1			1			1			1		5	4	3	5	4	3	3	4	4	4	4	3	2	3	2	3	3	2	3	3	4	3	3			0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0		1	1	0	0	0	0	0	0	0	0		0	1	3	0	0	1	0	0	1	1	0	0	0	0	0		4	1	2	4	4			1	2	
Raypath-ČR	Olomouc	1994	2	2	Výroba a prodej čisticích prostředků	s.r.o.	1	3	1	3		5	5	4	5	4	5	1	1	3		5	1		5		2		3		5		2			2			2			3		5		2			2			2						1		5	5	5	5	3	2	4	5	5	4	5	4	5	4	5	5	3	5	5	5	5	5	4			0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0		3	1	0	0	1	1	0	1	1	0		0	1	2	1	1	1	1	0	1	1	0	0	0	0	0		1	3	1	1	1			1	2	
